model,acc,prec,rec,f1
svc,0.8036769533814839,0.801358234295416,0.7217125382262997,0.7594529364440868
logreg,0.8089297439264609,0.8565815324165029,0.6666666666666666,0.7497850386930353
nb,0.8076165462902167,0.8574257425742574,0.6620795107033639,0.7471958584987057
